politica;numero_linhas;tamanho_cache_bytes;hit_global;amat;leituras_mp;escritas_mp;total_mp
LRU;16;2048;46.998;35.8012;20993;6144;27137
LRU;32;4096;58.9785;28.6129;14859;6144;21003
LRU;64;8192;81.9336;14.8398;3106;6144;9250
LRU;128;16384;87.9219;11.2469;40;6144;6184
LRU;256;32768;87.9219;11.2469;40;6144;6184
LRU;512;65536;87.9219;11.2469;40;6144;6184
LRU;1024;131072;87.9219;11.2469;40;6144;6184
ALEATORIA;16;2048;48.6895;34.7863;20127;6144;26271
ALEATORIA;32;4096;66.9629;23.8223;10771;6144;16915
ALEATORIA;64;8192;84.1973;13.4816;1947;6144;8091
ALEATORIA;128;16384;87.9219;11.2469;40;6144;6184
ALEATORIA;256;32768;87.9219;11.2469;40;6144;6184
ALEATORIA;512;65536;87.9219;11.2469;40;6144;6184
ALEATORIA;1024;131072;87.9219;11.2469;40;6144;6184
